title;ingredients;instructions;label
Best Meatloaf;"2 pounds ground beef
¼ cup bread crumbs (1 slice of bread made into bread crumbs)
½ cup onion finely diced
¼ cup whole milk
½ cup barbecue sauce
2 eggs
2 Tablespoons Worcestershire sauce
1 Tablespoon minced garlic
1 teaspoon fine sea salt
¼ teaspoon ground black pepper
½ cup ketchup
¼ cup light brown sugar
2 Tablespoons Worcestershire sauce";"Preheat oven to 375°F (175°C).
Combine ketchup brown sugar and Worcestershire sauce in a small bowl, set aside.
In a large bowl whisk together milk, BBQ sauce, eggs, Worcestershire sauce, garlic, salt and pepper.
Add meat, onions and bread crumbs and stir until combined.
Line a wire rack with aluminum foil and poke holes in it, then place it on a large baking sheet
Form the mixture into a large loaf (about 10” by 5” by 2”)
Bake for 40 minutes.
Remove from oven, spread sauce on top and bake for 10 more minutes or until meatloaf reaches an internal temperature of 160 degrees F.
If necessary, broil for the 2-4 minutes to caramelize the top.
Remove from oven and let cool for at least 5 minutes before serving.";regular
Chicken Lo Mein;"1 pound chicken breasts
8 ounces dry lo mein noodles
3 Tablespoons sesame oil
1 Tablespoon minced garlic
½ onion finely sliced
2 bell peppers finely sliced
2 carrots cut into thin matchsticks
4 cups broccoli (about 2 medium crowns)
6 Tablespoons soy sauce
6 Tablespoons sesame oil
3 Tablespoons hoisin sauce
1 Tablespoon honey
¼ teaspoon ground ginger
¼ teaspoon freshly ground black pepper";"In a small bowl, whisk together sauce ingredients. Set aside.
Slice chicken in thin strips, 1” long.
Place in a shallow bowl. Add 3 TBS lo mein sauce.
Stir and marinate the chicken for 30-60 minutes at room temperature, or up to 6 hours in the refrigerator.
Stir and marinate the chicken for 30-60 minutes at room temperature, or up to 6 hours in the refrigerator.
Stir and marinate the chicken for 30-60 minutes at room temperature, or up to 6 hours in the refrigerator.
Cook the lo mein noodles according to package instructions.
Drain but do not rinse.
Remove chicken from marinade, transfer to a colander and strain off excess marinade.
Cook in a skillet with 1 TBS sesame oil over high heat, stirring constantly until it is no longer pink inside and has browned nicely on the outside (about 10 minutes).
Heat 1 TBS sesame oil in a large fry pan or wok.
Add onion, garlic and carrots and cook on over high heat until onion is soft (2-5 minutes)
Add the rest of the vegetables and additional 1 TBS sesame oil.
Cover and cook until the vegetables browned and soft, stirring occasionally, 5 minutes.
Then, add the cooked noodles and chicken and the remaining sauce and stir to combine.
Cook until the noodles just begin to brown, stirring occasionally.
Serve immediately.";regular
Easy Homemade Mac and Cheese;"8 ounces elbow macaroni uncooked
Cheese Sauce:
2 Tablespoons salted butter
2 Tablespoons all-purpose flour
½ teaspoon sea salt
¼ teaspoon garlic powder (optional but recommended)
1 cup  whole milk
¼ cup sour cream or Greek yogurt
8 ounces shredded cheddar cheese (2 cups)";"Cook elbow macaroni according to package instructions. Be sure to add ¼ tsp salt to the water used to boil the noodles. Drain, and set aside.
Mix flour, sea salt, and garlic powder together in a small bowl. Set aside.
In a medium saucepan over medium heat, melt the butter.
Add flour mixture and whisk to combine.
Cook for 1 minute until mixture is slightly brown.
Add 1 cup milk and whisk until the mixture is smooth.
Add sour cream (or Greek yogurt) and whisk until smooth.
Cook on medium-high heat until the mixture is thickened (about 3-5 minutes). Do not let it boil.
Once mixture is thick (sticks to the back of the spatula), reduce heat to low and add cheese. Whisk until cheese is melted and mixture is smooth. Taste and add more salt/seasoning if desired.
Add cooked pasta to the pot of cheese sauce and stir until the sauce is evenly distributed.
Let the mac and cheese cool for 3-5 minutes or until the cheese sauce has thickened a little bit and sticks to the noodles. Serve warm!";regular
Chocolate Cake;"1 ¼ cups all-purpose flour
1 ¼ cups granulated sugar
¼ cup unsweetened cocoa powder
½ teaspoon baking soda
½ teaspoon baking powder
½ teaspoon sea salt
½ teaspoon espresso powder
½ cup canola oil (or melted butter)
2 eggs, large
½ cup sour cream
½ cup whole milk
1 teaspoon pure vanilla extract
½ cup mini chocolate chips";"Preheat oven to 350 degrees F.
Line two 6” round cake pans with parchment paper and grease well. Set aside.
In a medium bowl, combine flour, sugar, cocoa powder, baking soda, baking powder, sea salt and espresso powder. Set aside
In a large bowl, whisk together canola oil, eggs, sour cream, milk and vanilla until the mixture is smooth.
Add dry ingredients to the wet ingredients and stir until combined.
Add mini chocolate chips and stir until evenly distributed.
Divide the batter evenly into the two prepared cake pans.
Bake in the preheated oven for 30-35 minutes, or until a toothpick inserted in the center of the cakes comes out clean or with a few crumbs.
Place cake pans on a wire cooling rack to cool to room temperature (takes about 30 minutes).
Once cool, lift cakes out of the pans and remove parchment paper. Let cool completely on the wire cooling rack.
Once cool, with chocolate frosting and serve.";regular
Crock Pot Teriyaki Chicken;"2 pounds chicken breasts
½ cup honey
¾ cup soy sauce*
2 Tablespoons rice vinegar
¼ cup mirin
½ teaspoon powdered ginger
½ teaspoon garlic powder
½ teaspoon onion powder
¼ teaspoon freshly ground black pepper
1 teaspoon sesame oil
1 Tablespoon cornstarch
1 Tablespoon cool water";"Grease the container of a large slow cooker.
Add the sauce ingredients in the order listed into the prepared container of a slow cooker and whisk to combine. DO NOT ADD the cornstarch and water mixture!
Place chicken breasts into the slow cooker and turn to coat.
Cook on low for 6 hours or high for 3 hours or until chicken is easily shred with a fork.
Remove chicken from the crockpot and place into a medium serving dish. Do not discard the sauce.
Shred the chicken with two forks. Cover and set aside.
Set a fine mesh strainer over 4-quart saucepan and carefully pour sauce through the strainer into the saucepan.
Mix cornstarch in water and add to the sauce, stir or whisk until fully incorporated.
Bring sauce to a boil over medium-high heat and cook, stirring constantly, until sauce is thickened.
Mix half of the sauce into the shredded chicken, and save half of the sauce for serving.
Serve with rice, stir-fried veggies or your favorite Asian salad!";regular
Homemade Brownie;"⅔ cup all-purpose flour
1 Tablespoon cocoa powder
¼ teaspoon sea salt
10 ounces bittersweet or semisweet chocolate* (1 ½ cups)
½ cup salted butter
¾ cup granulated sugar
2 teaspoons pure vanilla extract
2 large eggs
½ cup of mix-ins (chocolate chips, nuts, etc. if desired)";"Preheat oven to 350 degrees F, grease an 8x8” baking dish, set aside.
Mix flour, cocoa powder and sea salt together in a small bowl; set aside.
Melt chocolate and butter together in a microwave safe bowl, or on the stovetop over low heat. Stir until smooth and glossy. Set aside.
In the bowl of a standing mixer, beat eggs for 1 minute or until pale and thick.
Add sugar and beat for an additional 30-60 seconds, until sugar is dissolved.
Add melted chocolate/butter mixture and vanilla and stir on low speed until batter is smooth and homogenous (uniform throughout).
Add dry ingredients, mix on low speed until just incorporated and there are no lumps.
Stir in chocolate chips or other mix-ins by hand.
Pour batter into prepared pan; bake until the top is set and the brownies are only very slightly “jiggly”, 25-30 minutes.**
Place brownie pan on a wire cooling rack to cool completely.
Cut into squares and serve.";regular
Banana Bread;"3-4 overripe bananas (1 ½ cups mashed)
½ cup salted butter melted
2 eggs beaten
2 teaspoons pure vanilla extract
¾ cup granulated sugar
¼ cup light brown sugar
1 ½ cups all-purpose flour
1 teaspoon baking soda
½ teaspoon baking powder
½ teaspoon fine sea salt
½ teaspoon cinnamon";"Preheat oven to 350 degrees F.
Grease or butter a 9x5"" loaf pan, set aside. You can also line the loaf pan with parchment paper then grease.
Mash the bananas together in a large bowl.
Then, add melted butter, eggs and vanilla to the mashed bananas and stir to combine.
Add granulated sugar and brown sugar to the banana mixture. Stir until the sugar is dissolved.
Next, add the flour, baking powder, baking soda, sea salt and cinnamon and stir until combined.
Pour batter into prepared loaf pan.
Bake the banana bread on the lower rack in the preheated oven for 55-60 minutes, or until the top is golden brown and a toothpick or cake tester inserted in the center of the bread comes out clean or with a few moist crumbs.
Let the banana bread cool in the loaf pan on a wire rack for at least 1 hour and up to overnight.
Use a knife to release the sides of the bread from the pan.
Remove the banana bread from the loaf pan and transfer it to a cooling rack to let it cool completely.";regular
Gluten Free Chocolate Chip Cookies;"½ cup salted butter
½ cup granulated sugar
½ cup light brown sugar
1 teaspoon pure vanilla extract
1 large egg
1 ½ cups gluten-free all-purpose flour
½ teaspoon baking soda
¼ teaspoon baking powder
½ teaspoon fine sea salt
1 cup chocolate chips";"Preheat oven to 375 degrees F. Line 2 baking sheets with parchment paper, set aside.
In a small bowl, combine gluten-free flour, baking soda, baking powder and sea salt. Set aside
In the bowl of a standing mixer fitted with the paddle attachment, cream together butter and sugars until light and fluffy.
Add egg and vanilla and beat until combined.
Add dry ingredient mixture and beat until the dough is uniform throughout
Add chocolate chips and stir until evenly distributed.
Use a small cookie scoop to measure out 1 ½ TBS portions of dough, then roll into balls and place on prepared baking sheets at least 2” apart (I usually put 8 or 9 cookies on each baking sheet).
Bake in preheated oven for 9-10 minutes, or until cookies are barely set.
Cool on baking sheet for 5-10 minutes before transferring to a wire cooling rack to cool completely.";regular
Peanut Butter Banana Oatmeal Waffles;"1 cup old fashioned oats (or oat flour)
2 Tablespoons cornstarch
½ teaspoon baking powder
¼ teaspoon baking soda
¼ teaspoon sea salt
¼ teaspoon ground cinnamon
¾ cups whole milk (or almond milk)
¼ cup creamy peanut butter
1 banana ripe
1 egg
2 Tablespoons granulated sugar
½ teaspoon pure vanilla extract";"Preheat a waffle maker to medium-high heat.
Place oats into the container of a high-powered blender and secure lid. Blend for 15 seconds or until they become a fine powder (the consistency of flour).
Pour oat flour into a medium mixing bowl.
Add cornstarch, baking powder, baking soda, salt cinnamon and sugar to the oat flour and stir to combine. Set aside.
Put almond milk, peanut butter, banana, vanilla and egg in the container of a high-powered blender and secure the lid.
Blend on low speed, gradually increasing to high. Blend on high for 15 seconds or until the mixture is smooth.
Add the dry ingredients and blend until smooth.
Let mixture sit for 2-5 minutes to thicken.
Pour mixture into the preheated waffle maker, 1 cup at a time (or whatever amount is appropriate for the size of your waffle maker).
Cook on medium-high heat in your waffle maker for about 4 minutes, or until your waffles reach the optimal crispiness and brownness, which will vary depending on your waffle maker.
Serve warm.";regular
Flourless Peanut Butter Cookies;"1 cup creamy peanut butter
½ cup granulated sugar
1 egg lightly beaten
½ teaspoon pure vanilla extract
¼ teaspoon fine sea salt
½ cup chocolate chips (optional) mini or regular, or chopped chocolate";"Preheat oven to 350 degrees F
Mix together peanut butter and sugar.
Add egg, vanilla and salt and stir until combined.
If desired, mix in chocolate chips.
Roll 1 TBS portions of dough into balls and place on baking sheet lined with parchment paper. (or use a cookie scoop to scoop the dough onto the baking sheet)
Bake for 8-10 minutes or until bottoms are just barely browned.
Let the cookies sit on the pan for 10 minutes before removing them to a wire rack to cool.";regular
Honey Mustard Chicken;"Chicken & Marinade
2 pounds chicken breasts cut into 4 thin breasts
2 Tablespoons olive oil
1 Tablespoons Dijon mustard
2 Tablespoons lemon juice
1 Tablespoon minced garlic
Salt and pepper
Honey Mustard Sauce:
¼ cup Dijon mustard
¼ cup honey or maple syrup
Salt and pepper";"Marinate the Chicken
Combine marinade ingredients in a medium sized bowl. Place chicken breasts in the bowl and turn to coat with the marinade. Cover and marinate in the refrigerator for 2-6 hours, or at room temperature for 30-60 minutes.
Make the Sauce
Combine mustard & honey, in a small bowl and whisk to combine.
Bake & Serve
Preheat oven to 375 degrees F.
Remove chicken breasts from the marinade.
Place them in a 9x13” baking dish.
Sprinkle each breast with salt and pepper.
Add honey mustard sauce to the top of each breast.
Bake in preheated oven for 20-30 minutes or until the internal temperature is 165 degrees F. (baking time depends greatly on the thickness of your chicken breasts).";regular
Baked Hummus Chicken;"2 lbs chicken breasts (boneless, skinless)
1 Tablespoon olive oil
1 teaspoon sea salt
¼ teaspoon black pepper
1 teaspoon paprika
1 teaspoon garlic powder
½ teaspoon onion powder
2 teaspoon oregano
½ cup hummus
1 Tablespoon lemon juice";"Preheat oven to 375 degrees. Grease a 9x13” baking dish. Set aside.
Mix together salt, pepper, paprika, garlic powder, onion powder and oregano.
Place chicken in a bowl and drizzle with olive oil, turn to coat each breast with oil.
Evenly space the chicken breasts in a baking dish.
Sprinkle each chicken breast evenly with spice mixture (just less than 1 tsp per breast).
Spread 2 TBS hummus on each chicken breast.
Drizzle the top of the hummus with lemon juice.
If desired, add an extra dash of paprika on top of the hummus.
Bake for 25- 30 minutes, until the chicken reaches an internal temperature of 160 degrees F.
Serve immediately with homemade tzatziki!";regular
Philly Cheesesteak;"½ teaspoon salt
½ teaspoon black pepper
½ teaspoon paprika
½ teaspoon chili powder
½ teaspoon onion powder
½ teaspoon garlic powder
½ teaspoon dried thyme
½ teaspoon dried marjoram
½ teaspoon dried basil
1 pound beef sirloin, cut into thin 2 inch strips
3 tablespoons vegetable oil
1 onion, sliced
1 green bell pepper, julienned
3 ounces Swiss cheese, thinly sliced
4 hoagie rolls, split lengthwise";"Gather all ingredients.
Mix salt, pepper, paprika, chili powder, onion powder, garlic powder, thyme, marjoram, and basil together in a small bowl.
Place steak in a large bowl; sprinkle seasoning mixture over top and stir to coat.
Heat 1/2 of the oil in a skillet over medium-high heat. Add steak; cook and stir to the desired doneness. Transfer cooked steak to a plate.
Heat the remaining oil in the skillet. Add onion and green pepper; cook and stir until tender and caramelized.
Preheat the oven on the broiler setting. Divide cooked beef between the bottoms of 4 rolls.
Layer with onion and green pepper.
Top with sliced cheese. Place on a cookie sheet.
Broil in the preheated oven until cheese is melted.
Cover with tops of rolls and serve.";regular
